Geneid mock_infected1_S1 mock_infected2_S5 mock_infected9_S9 IFNb_treated12_S12 IFNb_treated2_S8 IFNb_treated4_S4
ENSG00000171056 0 5 4 3 4 4
ENSG00000171060 0 0 0 0 0 0
ENSG00000171067 3189 3692 3125 2748 3178 2687
ENSG00000171084 86 68 65 60 76 66
ENSG00000171094 4 3 5 39 55 46
ENSG00000171097 206 220 173 60 101 92
ENSG00000171100 341 351 285 388 364 314
ENSG00000171101 0 0 1 0 0 0
ENSG00000171102 0 0 0 0 0 0
ENSG00000171103 380 331 322 300 345 214
ENSG00000171105 438 454 436 291 321 236
ENSG00000171109 1425 1246 1267 1500 1709 1233
ENSG00000171115 5 1 5 0 4 5
ENSG00000171116 0 0 0 0 0 0
ENSG00000171119 2 0 0 0 1 0
ENSG00000171121 12 9 16 16 15 24
ENSG00000171124 0 0 0 0 0 0
ENSG00000171126 0 0 0 0 0 0
ENSG00000171130 489 587 407 165 237 220
ENSG00000171132 552 550 480 636 625 492
ENSG00000171133 0 0 0 0 0 0
ENSG00000171135 1151 1027 970 1324 1110 990
ENSG00000171136 0 0 0 0 0 0
ENSG00000171148 4082 4863 3829 2673 4067 3639
ENSG00000171150 4197 3843 3468 4079 6135 4567
ENSG00000171155 1725 1364 1369 6819 4346 3457
ENSG00000171159 1212 1790 1196 895 1051 1063
ENSG00000171160 376 389 326 153 268 238
ENSG00000171161 592 726 633 907 781 739
ENSG00000171163 407 593 432 375 341 240
ENSG00000171169 366 398 361 381 381 325
ENSG00000171174 70 65 60 48 77 61
ENSG00000171180 0 0 0 0 0 0
ENSG00000171189 0 0 0 0 0 0
ENSG00000171195 0 0 1 0 0 0
ENSG00000171199 0 0 0 0 0 0
ENSG00000171201 0 0 0 0 0 0
ENSG00000171202 534 512 433 523 557 485
ENSG00000171204 947 799 737 679 1120 769
ENSG00000171206 3343 4289 3090 4183 3479 3172
ENSG00000171208 323 364 350 613 225 199
ENSG00000171209 0 0 0 0 0 0
ENSG00000171217 0 0 0 0 0 0
ENSG00000171219 6 7 4 5 4 6
ENSG00000171222 1070 1507 1234 1257 1141 1141
ENSG00000171223 3135 3998 3412 5324 4284 4572
ENSG00000171224 1 2 2 2 5 5
ENSG00000171227 5 7 12 0 5 5
ENSG00000171234 0 0 0 0 0 3
ENSG00000171236 4 1 3 1 2 6
ENSG00000171241 1182 1205 1108 647 817 665
ENSG00000171243 0 0 0 0 0 0
ENSG00000171246 947 1014 798 562 902 782
ENSG00000171262 879 789 706 612 807 659
ENSG00000171291 173 169 157 112 200 151
ENSG00000171295 256 248 220 194 276 184
ENSG00000171298 4628 6058 4330 3984 4732 4428
ENSG00000171302 3763 4555 3550 3709 3935 3455
ENSG00000171303 1 3 0 1 1 2
ENSG00000171307 1709 1826 1565 1777 1805 1504
ENSG00000171310 189 163 148 427 250 207
ENSG00000171311 810 732 706 756 858 756
ENSG00000171314 3049 3825 3024 6988 6275 5316
ENSG00000171316 4 9 3 24 2 4
ENSG00000171320 304 295 290 141 200 177
ENSG00000171345 2838 3648 2865 568 2839 2631
ENSG00000171346 41 47 47 30 58 56
ENSG00000171357 139 151 125 69 96 100
ENSG00000171360 2 4 0 0 5 0
ENSG00000171365 260 244 220 175 179 125
ENSG00000171368 4 8 4 7 4 4
ENSG00000171385 0 2 1 0 1 0
ENSG00000171388 7 8 2 1 4 2
ENSG00000171396 0 0 0 0 0 0
ENSG00000171401 1 1 0 0 1 0
ENSG00000171402 0 0 0 0 0 0
ENSG00000171403 2 1 0 0 0 1
ENSG00000171405 0 0 0 0 0 0
ENSG00000171408 488 421 374 233 473 336
ENSG00000171421 817 857 714 1019 675 694
ENSG00000171425 496 650 484 380 483 431
ENSG00000171428 122 131 114 154 242 187
ENSG00000171431 0 0 0 0 0 0
ENSG00000171433 0 0 0 0 0 0
ENSG00000171435 0 0 0 0 0 0
ENSG00000171443 316 539 305 314 294 295
ENSG00000171444 904 842 733 636 746 574
ENSG00000171446 0 0 0 0 0 0
ENSG00000171448 246 203 213 247 331 230
ENSG00000171450 0 4 5 0 4 3
ENSG00000171451 9919 9237 8406 9721 9808 7620
ENSG00000171453 653 710 610 778 693 600
ENSG00000171456 2873 3150 2591 2465 3240 2359
ENSG00000171459 0 0 0 0 0 0
ENSG00000171462 63 103 57 14 31 39
ENSG00000171466 471 453 451 781 749 623
ENSG00000171467 1359 1255 1180 1027 1238 842
ENSG00000171469 1075 906 952 1123 1376 942
ENSG00000171475 1565 1801 1436 1532 2039 1534
ENSG00000171476 1 0 0 0 0 0
ENSG00000171478 0 0 0 0 0 0
ENSG00000171481 4 0 2 0 1 1
ENSG00000171483 0 0 0 0 0 0
ENSG00000171487 0 0 0 0 0 0
ENSG00000171488 834 811 764 1292 949 718
ENSG00000171489 0 0 0 0 0 0
ENSG00000171490 3531 3259 2806 4650 4245 3203
ENSG00000171492 1264 1170 1070 1689 1751 1253
ENSG00000171495 0 0 0 0 0 0
ENSG00000171496 1 1 0 0 1 0
ENSG00000171497 1067 1049 870 973 1228 977
ENSG00000171501 0 0 0 0 0 0
ENSG00000171502 44 62 32 20 39 29
ENSG00000171503 1055 983 963 739 1184 854
ENSG00000171505 0 0 0 0 0 0
ENSG00000171509 335 285 266 512 1471 1167
ENSG00000171517 49 26 35 41 35 26
ENSG00000171522 25 37 18 20 33 32
ENSG00000171530 1490 1451 1236 1521 1454 1093
ENSG00000171532 0 0 0 0 0 0
ENSG00000171533 194 163 136 42 96 83
ENSG00000171540 0 0 0 0 2 0
ENSG00000171551 0 0 0 0 0 0
ENSG00000171552 3493 3760 3004 3614 3642 3247
ENSG00000171557 0 0 0 0 0 0
ENSG00000171560 0 0 0 0 0 0
ENSG00000171561 0 0 0 0 0 0
ENSG00000171564 0 0 0 0 0 0
ENSG00000171566 2233 2037 1835 2006 2453 1900
ENSG00000171570 0 0 0 0 0 0
ENSG00000171574 490 511 477 432 454 420
ENSG00000171587 0 0 0 0 0 0
ENSG00000171595 0 2 0 0 0 0
ENSG00000171596 0 1 0 0 0 0
ENSG00000171603 6887 8463 6740 6869 8630 6810
ENSG00000171604 2100 2560 2098 997 1708 1523
ENSG00000171606 413 485 376 675 820 658
ENSG00000171608 1271 1472 1152 1679 1096 866
ENSG00000171611 0 0 0 0 1 0
ENSG00000171612 149 175 141 194 161 109
ENSG00000171617 878 866 843 1385 898 746
ENSG00000171621 1486 1653 1350 2101 2286 1986
ENSG00000171631 2 5 5 2 5 2
ENSG00000171634 2521 2366 2066 2270 2904 2103
ENSG00000171643 0 0 0 0 0 0
ENSG00000171649 161 172 149 152 222 151
ENSG00000171657 0 0 0 0 0 0
ENSG00000171658 45 52 50 43 56 60
ENSG00000171659 0 0 0 0 0 0
ENSG00000171671 0 0 0 0 0 0
ENSG00000171680 421 499 374 267 333 259
ENSG00000171681 1298 1198 1084 1525 2392 1628
ENSG00000171695 6 3 0 0 1 0
ENSG00000171700 561 634 494 544 478 500
ENSG00000171703 974 1205 927 476 694 636
ENSG00000171711 0 0 0 0 0 0
ENSG00000171714 0 0 0 0 0 0
ENSG00000171720 1837 1831 1708 1493 1626 1476
ENSG00000171722 0 0 0 0 0 0
ENSG00000171723 331 410 323 242 285 218
ENSG00000171724 1275 1307 1224 631 1486 1134
ENSG00000171729 547 633 520 802 606 493
ENSG00000171735 1022 1028 946 906 950 740
ENSG00000171747 0 0 0 0 1 1
ENSG00000171757 92 96 71 91 106 82
ENSG00000171759 0 0 0 0 0 0
ENSG00000171763 237 268 265 395 361 320
ENSG00000171766 4 5 9 14 4 2
ENSG00000171772 0 0 0 0 0 0
ENSG00000171773 0 0 0 0 0 0
ENSG00000171777 0 0 0 0 0 0
ENSG00000171786 3 5 5 9 6 7
ENSG00000171790 0 6 4 5 5 3
ENSG00000171791 158 105 118 105 104 87
ENSG00000171792 1132 1160 1014 686 1095 834
ENSG00000171793 1821 1750 1613 2447 1619 1291
ENSG00000171794 0 0 0 0 0 0
ENSG00000171798 79 89 71 13 49 48
ENSG00000171804 0 0 0 0 0 0
ENSG00000171806 134 112 95 106 135 99
ENSG00000171811 13 13 10 4 2 3
ENSG00000171812 582 691 591 248 526 415
ENSG00000171813 323 451 338 398 383 413
ENSG00000171815 0 0 0 0 0 0
ENSG00000171817 38 35 18 11 25 24
ENSG00000171819 0 1 0 0 0 0
ENSG00000171823 201 234 206 189 233 220
ENSG00000171824 2548 2480 2191 2954 3539 2832
ENSG00000171827 274 201 199 216 302 202
ENSG00000171840 0 1 1 1 5 2
ENSG00000171843 922 861 776 908 1248 1032
ENSG00000171847 1 6 1 2 8 9
ENSG00000171848 2534 2628 2385 1663 1828 1617
ENSG00000171853 1324 1606 1413 1370 1333 1234
ENSG00000171855 1 0 0 11 7 7
ENSG00000171858 4857 4479 4147 3611 2957 3365
ENSG00000171860 5 0 3 79 196 126
ENSG00000171861 299 317 297 434 331 301
ENSG00000171862 2726 2534 2334 2829 3360 2730
ENSG00000171863 11445 10398 10202 8955 8701 8029
ENSG00000171864 3 2 0 1 1 3
ENSG00000171865 844 854 722 820 856 670
ENSG00000171867 18708 17508 16343 15848 27453 21048
ENSG00000171872 3 8 6 3 7 4
ENSG00000171873 331 434 358 339 424 340
ENSG00000171877 68 62 66 51 109 85
ENSG00000171885 0 0 0 0 0 0
ENSG00000171889 642 714 686 736 961 888
ENSG00000171903 0 0 0 0 1 0
ENSG00000171914 2432 2463 2332 1709 2002 1718
ENSG00000171916 0 0 0 2 4 1
ENSG00000171928 477 405 457 863 717 594
ENSG00000171931 0 1 0 3 0 0
ENSG00000171936 0 0 0 0 0 0
ENSG00000171940 2472 2427 2212 3890 3558 2749
ENSG00000171942 0 0 0 0 0 0
ENSG00000171943 140 137 109 122 204 137
ENSG00000171944 0 0 0 0 0 0
ENSG00000171951 139 160 136 339 268 205
ENSG00000171953 344 367 328 245 331 277
ENSG00000171954 0 0 0 0 0 0
ENSG00000171956 0 0 0 0 0 0
ENSG00000171960 418 374 391 268 307 278
ENSG00000171962 8 17 18 4 14 11
ENSG00000171970 76 86 64 83 95 78
ENSG00000171984 63 44 35 64 62 48
ENSG00000171987 0 0 0 0 0 0
ENSG00000171988 1737 1384 1422 2176 2367 1566
ENSG00000171989 0 0 0 0 0 0
ENSG00000171992 2357 2832 2166 1426 2713 2128
ENSG00000171999 0 0 0 0 0 0
ENSG00000172000 0 0 0 0 0 0
ENSG00000172005 0 0 0 0 0 0
ENSG00000172006 110 112 113 66 103 77
ENSG00000172007 309 294 266 313 400 314
ENSG00000172009 1448 1891 1477 1275 1009 977
ENSG00000172014 0 0 0 0 0 0
ENSG00000172016 0 0 0 0 0 0
ENSG00000172020 433 514 371 149 406 324
ENSG00000172023 0 0 0 0 0 0
ENSG00000172031 14 18 22 13 13 11
ENSG00000172037 25837 29536 24738 25940 30264 27048
ENSG00000172046 1971 2193 1791 2139 2561 2119
ENSG00000172053 5162 5238 4616 3606 4935 3814
ENSG00000172057 2322 2664 2092 1950 2630 2465
ENSG00000172058 0 8 1 4 4 2
ENSG00000172059 781 799 668 662 1063 810
ENSG00000172061 4185 4935 4069 3148 5822 4362
ENSG00000172062 29 13 11 21 52 20
ENSG00000172071 1010 1043 865 999 1393 1007
ENSG00000172073 1 0 0 0 0 0
ENSG00000172081 2089 2414 1920 1643 2136 1785
ENSG00000172086 1221 1096 876 939 1316 985
ENSG00000172113 441 538 470 542 638 576
ENSG00000172115 1227 1289 1183 1679 1326 1128
ENSG00000172116 0 0 0 0 0 0
ENSG00000172123 416 420 405 1069 1438 1065
ENSG00000172137 35 39 31 17 20 15
ENSG00000172139 0 0 0 0 0 0
ENSG00000172146 0 0 0 0 0 0
ENSG00000172148 0 0 0 0 0 0
ENSG00000172150 0 0 0 0 0 0
ENSG00000172154 0 0 0 0 0 0
ENSG00000172155 0 2 1 0 0 0
ENSG00000172156 3 0 1 5 2 2
ENSG00000172159 32 34 33 92 41 26
ENSG00000172164 337 407 395 669 415 302
ENSG00000172167 111 93 106 116 130 98
ENSG00000172171 289 293 248 284 345 289
ENSG00000172172 1123 941 1036 1046 1278 1045
ENSG00000172175 1512 1472 1340 2232 2086 1522
ENSG00000172179 1 0 0 0 0 0
ENSG00000172183 30 25 17 4349 4295 4405
ENSG00000172186 0 0 0 0 0 0
ENSG00000172188 0 0 0 0 0 0
ENSG00000172197 81 54 53 27 80 57
ENSG00000172199 0 0 0 0 0 0
ENSG00000172201 47 52 55 114 111 99
ENSG00000172208 0 0 0 0 0 0
ENSG00000172209 0 0 0 0 0 0
ENSG00000172215 1 3 0 0 0 0
ENSG00000172216 3656 5913 4597 7408 4619 4405
ENSG00000172232 1 3 0 0 1 4
ENSG00000172236 0 0 0 0 0 0
ENSG00000172238 0 0 0 0 0 0
ENSG00000172239 2108 1848 1768 2898 3342 2552
ENSG00000172243 0 0 0 16 21 24
ENSG00000172244 160 147 123 148 155 114
ENSG00000172247 0 0 0 0 0 0
ENSG00000172250 0 0 0 0 0 0
ENSG00000172260 474 447 442 375 455 372
ENSG00000172262 974 927 899 1075 1196 832
ENSG00000172264 52 45 40 13 33 31
ENSG00000172269 1342 1322 1160 1468 1552 1275
ENSG00000172270 25961 33040 24041 26842 29191 25950
ENSG00000172273 446 432 416 423 508 350
ENSG00000172283 0 0 0 0 0 0
ENSG00000172288 0 0 0 0 0 0
ENSG00000172289 0 0 0 0 0 0
ENSG00000172292 1164 1078 985 680 1370 853
ENSG00000172294 0 0 0 0 0 0
ENSG00000172296 41 31 27 8 89 51
ENSG00000172297 0 0 0 0 0 0
ENSG00000172301 1596 1768 1486 983 1313 1072
ENSG00000172315 897 921 836 1059 856 839
ENSG00000172318 0 1 0 2 2 0
ENSG00000172320 0 0 0 0 0 0
ENSG00000172322 0 0 0 0 1 0
ENSG00000172324 0 0 0 0 0 0
ENSG00000172331 916 922 935 1209 1060 747
ENSG00000172336 704 742 621 686 535 531
ENSG00000172339 333 336 309 220 255 221
ENSG00000172340 1914 1882 1682 1564 2389 1865
ENSG00000172342 0 0 0 0 0 0
ENSG00000172345 243 286 237 173 479 355
ENSG00000172346 822 1151 786 144 674 494
ENSG00000172348 1219 1216 1009 181 1639 1273
ENSG00000172349 61 64 46 5 18 14
ENSG00000172350 8 5 8 2 4 3
ENSG00000172352 0 0 0 0 0 0
ENSG00000172354 6389 8134 5961 6325 6903 6375
ENSG00000172361 14 24 8 6 16 11
ENSG00000172362 0 0 0 0 0 0
ENSG00000172365 0 0 0 0 0 0
ENSG00000172366 454 612 463 442 327 343
ENSG00000172367 1 0 0 0 0 0
ENSG00000172375 434 506 417 623 435 342
ENSG00000172377 0 0 0 0 0 0
ENSG00000172379 1524 1739 1462 1113 1678 1403
ENSG00000172380 9998 9520 8471 9231 12496 8607
ENSG00000172382 38 77 31 30 57 36
ENSG00000172399 8 5 13 7 18 14
ENSG00000172403 2896 2876 2658 1305 4975 3383
ENSG00000172404 0 1 0 0 0 0
ENSG00000172409 539 524 477 558 555 513
ENSG00000172410 1 0 0 1 1 0
ENSG00000172421 0 1 0 0 0 0
ENSG00000172425 0 1 1 3 2 3
ENSG00000172426 13 27 15 12 29 23
ENSG00000172428 1107 953 878 893 745 761
ENSG00000172432 2451 2618 2247 4975 6039 4827
ENSG00000172456 364 344 303 147 313 244
ENSG00000172457 0 0 0 0 0 0
ENSG00000172458 48 68 47 35 47 41
ENSG00000172459 0 0 0 0 0 0
ENSG00000172460 1 0 0 0 2 1
ENSG00000172461 0 0 0 0 0 0
ENSG00000172464 0 0 0 0 0 0
ENSG00000172465 570 673 542 587 667 533
ENSG00000172466 1524 1515 1270 2237 2004 1606
ENSG00000172468 0 0 0 0 0 0
ENSG00000172469 539 521 432 387 574 387
ENSG00000172476 1 2 2 2 2 4
ENSG00000172478 0 0 0 0 0 0
ENSG00000172482 0 1 0 0 0 3
ENSG00000172487 0 0 0 0 0 0
ENSG00000172489 0 0 0 0 0 0
ENSG00000172493 1659 1795 1540 3215 3533 2526
ENSG00000172497 33 27 37 11 29 20
ENSG00000172500 2401 2642 2132 2077 2548 2108
ENSG00000172508 22 29 21 4 11 7
ENSG00000172519 0 0 0 0 0 0
ENSG00000172530 481 568 451 484 492 491
ENSG00000172531 3888 4113 3762 3259 3679 3269
ENSG00000172534 3015 4070 2987 3476 4203 3536
ENSG00000172538 0 0 0 2 0 0
ENSG00000172543 1 2 2 5 1 2
ENSG00000172548 47 28 23 6 46 23
ENSG00000172551 1 0 0 0 0 0
ENSG00000172554 16 12 5 5 3 3
ENSG00000172568 0 0 0 1 0 1
ENSG00000172572 4 2 2 12 6 3
ENSG00000172575 40 23 28 24 46 28
ENSG00000172578 0 0 0 0 0 0
ENSG00000172586 776 803 719 699 698 666
ENSG00000172590 1103 1256 1133 1099 874 752
ENSG00000172594 855 808 701 571 1075 735
ENSG00000172602 4 5 3 3 3 6
ENSG00000172613 258 294 209 379 551 409
ENSG00000172638 14261 16942 13553 13006 16014 14754
ENSG00000172640 0 0 0 0 0 0
ENSG00000172650 4 6 1 3 3 1
ENSG00000172661 1081 1128 934 995 1370 1270
ENSG00000172663 606 785 590 477 470 421
ENSG00000172667 2341 2155 1796 746 1186 867
ENSG00000172671 110 104 100 174 192 141
ENSG00000172673 0 0 0 0 0 0
ENSG00000172680 0 0 0 0 0 0
ENSG00000172687 101 165 118 104 141 80
ENSG00000172689 0 0 0 0 0 0
ENSG00000172716 2047 2135 1914 2195 3383 2285
ENSG00000172717 6 11 9 11 7 11
ENSG00000172724 0 0 0 0 0 0
ENSG00000172725 4027 5215 3689 3434 4170 3936
ENSG00000172728 300 265 275 170 305 217
ENSG00000172731 286 347 294 111 187 140
ENSG00000172732 1348 1592 1288 1116 1301 1116
ENSG00000172733 2 1 1 0 1 0
ENSG00000172738 47 65 40 81 52 46
ENSG00000172742 0 0 0 0 0 0
ENSG00000172746 1 1 2 0 2 1
ENSG00000172748 82 79 79 64 131 89
ENSG00000172752 0 0 0 0 0 0
ENSG00000172757 32356 38343 30530 28858 39592 31998
ENSG00000172765 653 641 593 564 752 585
ENSG00000172766 389 391 310 363 518 368
ENSG00000172769 0 0 0 0 0 0
ENSG00000172771 3 5 3 0 2 1
ENSG00000172772 0 0 0 0 0 0
ENSG00000172775 1522 1766 1426 1751 2413 1781
ENSG00000172780 34 75 51 117 84 72
ENSG00000172782 0 0 0 0 0 0
ENSG00000172785 267 208 175 220 274 196
ENSG00000172789 1 4 2 3 5 1
ENSG00000172794 1 4 2 0 5 0
ENSG00000172795 436 377 294 484 572 440
ENSG00000172799 7 5 6 3 2 2
ENSG00000172803 81 53 41 23 21 24
ENSG00000172809 5850 5687 5072 5135 5794 5304
ENSG00000172817 252 210 202 420 318 181
ENSG00000172818 0 0 0 3 0 0
ENSG00000172819 3993 5172 3495 2231 4501 3670
ENSG00000172824 26 41 22 18 29 26
ENSG00000172828 8 15 7 11 28 32
ENSG00000172830 1219 1553 1073 469 1071 912
ENSG00000172831 2012 2270 1709 2176 3191 2681
ENSG00000172840 662 645 600 875 970 738
ENSG00000172845 2623 2295 2199 2769 3228 2478
ENSG00000172867 0 0 0 0 0 0
ENSG00000172869 954 855 857 775 1040 732
ENSG00000172878 235 224 237 108 173 120
ENSG00000172888 1105 1135 998 933 1297 926
ENSG00000172889 290 387 264 319 274 315
ENSG00000172890 1665 1761 1395 1278 1695 1316
ENSG00000172893 3338 3820 3290 3247 4897 4056
ENSG00000172900 0 0 0 0 0 0
ENSG00000172901 9 7 5 14 12 11
ENSG00000172912 0 0 0 0 0 0
ENSG00000172915 761 699 615 270 551 401
ENSG00000172922 834 1079 866 665 717 703
ENSG00000172927 131 134 102 190 185 165
ENSG00000172932 790 1035 723 951 766 717
ENSG00000172935 6244 7972 5904 4769 5860 5419
ENSG00000172936 1876 1967 1740 11104 14158 11125
ENSG00000172938 0 0 0 0 1 0
ENSG00000172939 2378 2614 2240 3958 3713 2724
ENSG00000172940 2 1 2 2 5 3
ENSG00000172943 817 982 798 826 1009 785
ENSG00000172954 315 328 282 234 482 330
ENSG00000172955 0 0 0 0 0 0
ENSG00000172965 1550 1514 1352 1952 1560 1303
ENSG00000172967 0 0 0 0 0 0
ENSG00000172969 0 0 0 0 0 0
ENSG00000172971 2 1 5 0 2 4
ENSG00000172974 590 473 492 560 584 472
ENSG00000172977 1395 1516 1171 1345 1627 1396
ENSG00000172985 791 839 713 1038 545 504
ENSG00000172986 67 90 64 31 57 50
ENSG00000172987 574 541 461 383 489 370
ENSG00000172992 659 774 626 346 574 430
ENSG00000172995 0 0 0 0 0 0
ENSG00000173011 1098 1242 1024 1212 1302 1129
ENSG00000173013 82 116 112 87 100 108
ENSG00000173020 1700 2085 1588 1636 1559 1419
ENSG00000173039 3010 3482 2758 3931 4514 3594
ENSG00000173040 613 644 529 572 735 602
ENSG00000173041 101 79 110 164 161 117
ENSG00000173064 1369 1428 1320 1637 1758 1329
ENSG00000173065 570 615 442 613 696 481
ENSG00000173068 1318 1175 1053 708 1263 850
ENSG00000173077 71 54 45 53 51 33
ENSG00000173080 0 0 0 0 0 0
ENSG00000173083 44 59 51 394 388 270
ENSG00000173085 357 352 333 333 477 375
ENSG00000173093 0 0 0 0 0 0
ENSG00000173110 32 28 31 15 74 67
ENSG00000173113 2481 2769 2225 2079 2145 2074
ENSG00000173114 62 43 37 146 150 121
ENSG00000173120 3468 3993 3204 4239 5284 4035
ENSG00000173124 0 0 0 0 0 0
ENSG00000173137 302 333 275 241 249 250
ENSG00000173141 1058 1054 958 1030 957 882
ENSG00000173145 782 820 670 1035 1377 980
ENSG00000173153 828 1173 907 1182 843 849
ENSG00000173156 401 525 433 188 279 244
ENSG00000173157 0 0 0 3 2 1
ENSG00000173163 706 649 701 514 655 603
ENSG00000173166 919 1050 801 937 1063 745
ENSG00000173171 325 469 324 351 400 346
ENSG00000173175 5 8 7 6 6 7
ENSG00000173193 2069 1743 1727 22034 28966 20232
ENSG00000173198 0 0 0 0 0 0
ENSG00000173200 8 9 4 12 32 17
ENSG00000173207 419 424 351 299 410 319
ENSG00000173208 0 0 0 0 0 1
ENSG00000173209 912 848 696 667 1044 596
ENSG00000173210 3254 3645 3036 3635 2994 2431
ENSG00000173212 2 1 0 0 4 2
ENSG00000173213 0 0 0 0 0 0
ENSG00000173214 111 114 100 123 152 125
ENSG00000173218 1192 1195 1060 1082 1435 1091
ENSG00000173221 2614 2466 2162 3336 3394 2812
ENSG00000173226 445 394 404 479 554 427
ENSG00000173227 3 0 0 6 1 1
ENSG00000173230 4060 3461 3376 3885 5360 3804
ENSG00000173231 0 0 1 0 0 0
ENSG00000173237 0 0 0 0 0 0
ENSG00000173239 0 0 0 0 0 0
ENSG00000173250 0 0 0 0 0 0
ENSG00000173253 0 0 0 0 0 0
ENSG00000173258 32 18 14 13 19 21
ENSG00000173261 1 4 1 6 5 3
ENSG00000173262 76 74 70 47 62 61
ENSG00000173264 1127 1652 1126 927 1196 1044
ENSG00000173267 65 78 32 26 35 28
ENSG00000173269 108 106 123 88 121 118
ENSG00000173272 539 781 561 276 418 363
ENSG00000173273 1701 1784 1593 1534 2449 1657
ENSG00000173275 313 291 264 244 343 226
ENSG00000173276 788 760 643 1849 1766 1229
ENSG00000173281 1149 1140 866 788 1224 841
ENSG00000173285 0 0 0 0 0 0
ENSG00000173295 169 156 150 114 162 133
ENSG00000173302 0 0 0 0 0 0
ENSG00000173320 0 1 0 0 0 0
ENSG00000173327 1235 1694 1260 1462 1434 1319
ENSG00000173334 796 797 709 1480 1192 965
ENSG00000173335 0 0 0 0 0 0
ENSG00000173338 3 0 1 3 1 3
ENSG00000173349 245 300 244 244 248 222
ENSG00000173357 0 0 0 0 0 0
ENSG00000173366 0 0 0 0 0 0
ENSG00000173369 0 0 0 0 0 0
ENSG00000173372 0 0 0 0 0 0
ENSG00000173376 6 5 6 11 6 3
ENSG00000173389 2 0 0 0 0 0
ENSG00000173391 32 32 34 146 72 62
ENSG00000173401 0 1 0 0 1 0
ENSG00000173402 6596 7705 6096 5673 6873 5489
ENSG00000173404 0 0 0 0 1 0
ENSG00000173406 207 226 181 81 233 158
ENSG00000173409 585 562 511 562 776 627
ENSG00000173418 1672 1671 1482 2084 1917 1453
ENSG00000173421 73 73 79 62 83 61
ENSG00000173431 0 0 0 0 0 0
ENSG00000173432 0 0 0 0 2 0
ENSG00000173436 361 424 295 328 310 265
ENSG00000173442 3785 4551 3407 2701 3400 2869
ENSG00000173451 149 134 114 130 137 103
ENSG00000173452 0 0 0 0 0 0
ENSG00000173456 1625 2141 1547 1171 1567 1250
ENSG00000173457 2997 4190 3287 2825 2789 2617
ENSG00000173464 0 0 0 0 0 0
ENSG00000173465 623 704 630 576 592 577
ENSG00000173467 0 0 0 0 0 0
ENSG00000173473 3401 3564 3190 2762 3406 2694
ENSG00000173480 128 135 129 163 228 161
ENSG00000173482 2318 2290 2123 1394 2020 1598
ENSG00000173486 1455 1724 1354 1645 1630 1417
ENSG00000173511 2160 3024 2059 1350 1815 1503
ENSG00000173517 4396 3813 3692 3536 4858 3824
ENSG00000173530 1320 1334 1157 330 264 206
ENSG00000173531 124 149 105 74 156 113
ENSG00000173535 121 142 96 55 117 87
ENSG00000173540 1165 1443 1143 1493 1217 1148
ENSG00000173542 612 602 475 749 709 553
ENSG00000173545 1329 1389 1202 1625 1593 1577
ENSG00000173546 6906 8862 6777 5034 6481 5542
ENSG00000173548 3191 3716 2864 3177 3425 2790
ENSG00000173557 0 0 0 0 0 0
ENSG00000173559 2240 2426 1889 3007 3729 2368
ENSG00000173567 6 9 9 12 8 11
ENSG00000173572 0 0 0 0 0 0
ENSG00000173575 2669 2763 2259 2914 3576 2969
ENSG00000173578 0 2 0 0 10 8
ENSG00000173581 533 737 551 471 476 440
ENSG00000173585 0 0 0 0 0 0
ENSG00000173588 322 297 247 239 259 176
ENSG00000173597 0 3 0 1 0 0
ENSG00000173598 766 796 639 578 909 641
ENSG00000173599 251 311 244 246 171 156
ENSG00000173610 0 0 0 0 0 0
ENSG00000173611 186 170 143 96 121 99
ENSG00000173612 0 0 0 0 0 0
ENSG00000173614 526 529 442 413 494 346
ENSG00000173621 1182 1619 1101 952 904 868
ENSG00000173626 12 10 15 6 21 18
ENSG00000173627 0 0 0 0 0 0
ENSG00000173638 408 372 323 255 176 187
ENSG00000173641 2032 2695 1990 473 2700 2040
ENSG00000173653 393 401 372 374 383 326
ENSG00000173660 2681 2632 2273 2200 2123 1797
ENSG00000173662 3 0 2 0 1 0
ENSG00000173673 0 0 0 0 0 0
ENSG00000173674 1359 1314 1172 1517 1573 1149
ENSG00000173678 0 0 0 0 0 0
ENSG00000173679 0 0 0 1 2 0
ENSG00000173681 291 228 231 183 312 221
ENSG00000173692 5660 5236 4790 5550 6654 5053
ENSG00000173698 0 1 1 1 3 4
ENSG00000173699 0 0 0 0 0 0
ENSG00000173702 7 5 7 495 68 49
ENSG00000173705 156 159 137 98 131 112
ENSG00000173706 6992 7106 5964 5279 8594 6588
ENSG00000173714 0 0 0 0 0 0
ENSG00000173715 170 182 159 61 105 99
ENSG00000173726 3285 2936 2854 4072 3840 2991
ENSG00000173727 427 423 366 516 606 467
ENSG00000173728 0 0 1 0 0 0
ENSG00000173744 1890 1669 1664 1894 2177 1688
ENSG00000173757 1681 1859 1560 1449 1632 1307
ENSG00000173762 32 38 19 61 69 72
ENSG00000173769 0 0 0 0 0 0
ENSG00000173786 3866 4820 3866 11875 16268 14671
ENSG00000173801 1021 1208 920 374 804 633
ENSG00000173805 14 12 2 8 7 14
ENSG00000173809 7 8 4 4 6 8
ENSG00000173810 1 1 1 0 0 0
ENSG00000173811 0 0 0 0 0 0
ENSG00000173812 13471 14180 11547 11781 12750 10349
ENSG00000173818 536 653 494 386 421 376
ENSG00000173821 5124 5275 4847 30514 37225 30911
