Geneid mock_infected1_S1 mock_infected2_S5 mock_infected9_S9 IFNb_treated12_S12 IFNb_treated2_S8 IFNb_treated4_S4
ENSG00000006451 3940 3640 3093 5202 5467 4165
ENSG00000006453 310 305 277 114 254 245
ENSG00000006459 171 157 163 206 279 185
ENSG00000006468 904 914 770 1242 1253 896
ENSG00000006530 763 702 709 719 876 744
ENSG00000006534 2367 3103 2247 1257 2756 2391
ENSG00000006555 0 0 0 0 0 0
ENSG00000006576 1588 1419 1410 1038 1511 1127
ENSG00000006606 26 46 31 61 67 58
ENSG00000006607 1634 1741 1420 1383 1937 1431
ENSG00000006611 0 0 0 0 0 0
ENSG00000006625 246 253 217 283 236 208
ENSG00000006634 327 337 294 257 336 237
ENSG00000006638 113 140 83 68 109 115
ENSG00000006652 1328 1215 1157 1645 1576 1356
ENSG00000006659 0 0 0 0 0 0
ENSG00000006695 383 339 370 438 461 424
ENSG00000006704 572 653 560 507 600 449
ENSG00000006712 2133 2412 1962 1490 2141 1729
ENSG00000006715 2424 2198 1869 1488 2512 1813
ENSG00000006740 31 67 42 18 29 20
ENSG00000006744 1936 2307 1770 2327 2467 2053
ENSG00000006747 496 446 360 191 1042 877
ENSG00000006756 624 675 573 594 1041 843
ENSG00000006757 190 138 121 111 151 119
ENSG00000006788 0 0 0 0 0 0
ENSG00000006831 2640 2499 2275 2929 2974 2345
ENSG00000006837 17 8 14 20 14 15
ENSG00000007001 0 0 0 0 1 0
ENSG00000007038 2 0 1 1 0 0
ENSG00000007047 1146 1505 1062 984 1277 1033
ENSG00000007062 3 0 0 0 0 0
ENSG00000007080 1397 1909 1440 903 976 1005
ENSG00000007129 0 0 0 0 0 0
ENSG00000007168 5434 5347 4661 4708 5751 4305
ENSG00000007171 0 0 0 0 1 1
ENSG00000007174 0 0 0 0 0 0
ENSG00000007202 8123 8028 7141 7525 7991 6657
ENSG00000007216 0 0 0 0 0 0
ENSG00000007237 566 580 510 275 431 346
ENSG00000007255 90 150 83 56 86 83
ENSG00000007264 6 3 5 8 6 4
ENSG00000007306 0 0 0 0 0 0
ENSG00000007312 10 17 4 6 20 4
ENSG00000007314 0 1 0 0 0 1
ENSG00000007341 505 534 470 645 776 570
ENSG00000007350 0 0 0 0 0 0
ENSG00000007372 0 1 0 1 0 1
ENSG00000007376 881 1127 801 878 673 702
ENSG00000007384 3556 4213 3175 2789 3706 3239
ENSG00000007392 905 1035 805 798 953 697
ENSG00000007402 4 4 1 4 2 2
ENSG00000007516 20 23 17 16 26 23
ENSG00000007520 1505 2026 1589 1414 1454 1469
ENSG00000007541 1038 1346 969 772 970 939
ENSG00000007545 425 537 395 495 491 412
ENSG00000007866 2700 3240 2437 2240 2662 2100
ENSG00000007908 0 0 0 0 0 0
ENSG00000007923 1930 2386 1843 2319 2485 2014
ENSG00000007933 7 2 1 2 7 4
ENSG00000007944 497 555 389 323 463 313
ENSG00000007952 2 0 0 0 0 0
ENSG00000007968 190 238 183 80 88 75
ENSG00000008018 4244 3633 3729 4542 4329 4095
ENSG00000008056 40 38 32 46 44 38
ENSG00000008083 690 799 616 1398 958 772
ENSG00000008086 301 256 322 371 549 351
ENSG00000008118 57 66 57 25 33 16
ENSG00000008128 54 76 58 57 57 58
ENSG00000008130 2071 2359 2150 3151 3236 2811
ENSG00000008196 0 0 0 0 0 0
ENSG00000008197 0 0 0 0 0 0
ENSG00000008226 16 13 10 9 9 6
ENSG00000008256 2739 2965 2547 2090 2811 2339
ENSG00000008277 8 8 8 2 0 6
ENSG00000008282 2568 2428 2048 3247 3638 2613
ENSG00000008283 954 1036 896 1141 1259 1172
ENSG00000008294 3660 3508 3012 2992 4879 3524
ENSG00000008300 331 387 303 358 385 349
ENSG00000008311 275 247 225 266 326 225
ENSG00000008323 6 3 4 1 3 0
ENSG00000008324 336 284 287 381 360 363
ENSG00000008382 205 270 203 128 182 178
ENSG00000008394 3456 3440 2851 4031 4310 3354
ENSG00000008405 399 338 303 212 227 194
ENSG00000008438 0 0 0 0 0 0
ENSG00000008441 6813 9620 6360 3489 9457 7484
ENSG00000008513 2674 2911 2603 3915 3116 2403
ENSG00000008516 4 3 6 10 11 15
ENSG00000008517 517 593 420 509 521 490
ENSG00000008710 5078 6276 4840 3960 4571 4615
ENSG00000008735 32 35 36 66 118 117
ENSG00000008838 1974 2201 1892 1957 2718 2294
ENSG00000008853 980 1172 943 631 859 687
ENSG00000008869 888 740 745 937 1078 780
ENSG00000008952 3981 3928 3030 4485 4789 3579
ENSG00000008988 10792 9784 9471 6680 7269 7325
